name,address
한국철도공사 부산역 1-3층,"부산광역시 동구 중앙대로 206, 한국철도공사 부산지역본부 1층 (초량동)"
천일주유소,"부산광역시 동구 중앙대로 168, 천일주유소 (초량동)"
수정5동체육공원,"부산광역시 동구 수정공원로105번길 41, 수정5동체육공원(테니스장 위) (수정동)"
풀랫폼 A동 장애인용,"부산광역시 동구 중앙대로 210, 유라시아 플랫폼 (초량동)"
동구청 지하2층 주차장,"부산광역시 동구 구청로 1, 동구청 (수정동)"
동부경찰서 1층 민원실,"부산광역시 동구 중앙대로 387, 동부경찰서 1층 (수정동)"
초량3동 행정복지센터 1층,"부산광역시 동구 초량상로 112, 초량3동주민센터 1층 (초량동)"
SK문화가스충전소,"부산광역시 동구 중앙대로 348, SK문화가스충전소 (초량동)"
부두119안전센터(소방1정대) 2층,"부산광역시 동구 충장대로 286, 부두119안전센터(소방정대2층 대기실 옆) (좌천동)"
초량1동 행정복지센터 1층,"부산광역시 동구 중앙대로179번길 33, 초량1동 행정복지센터 (초량동)"
부산시민회관 외부,"부산광역시 동구 자성로133번길 16, 시민회관 외부 (범일동)"
시민회관 대극장 2층 좌측여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
한국부동산원 1층,"부산광역시 동구 중앙대로 314, 한국부동산원 부산동부지사 1층 (초량동)"
부산트래블라운지1층,"부산광역시 동구 대영로243번길 38, 부산트래블라운지 1층 (초량동)"
시민회관 카페테리아 남자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
수정119안전센터 화장실,"부산광역시 동구 중앙대로 383-1, 수정119안전센터 (수정동)"
시민회관 소극장 여자,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)"
플랫폼 B동,"부산광역시 동구 중앙대로 210, 유라시아 플랫폼 (초량동)"
동구문화원,"부산광역시 동구 중앙대로349번길 20, 동구문화원 (수정동)"
남항주유소,부산광역시 영도구 남항서로 96
부산동삼동우체국,부산광역시 영도구 동삼로 37-1
와치종합사회복지관,부산광역시 영도구 함지로79번길 76
부산해양경찰서 영도파출소,부산광역시 영도구 하리해안길 17-18
신선동행정복지센터,부산광역시 영도구 하나길 317 (신선동3가)
청학파출소,부산광역시 영도구 태종로 935
동현주유소,부산광역시 영도구 해양로 212
7-3 버스주차장,부산광역시 영도구 동삼동 1017-3
영도도서관 남항분관,부산광역시 영도구 절영로 71 (남항동2가)
부산청학동우체국,부산광역시 영도구 청학로 87
영도구종합사회복지관,부산광역시 영도구 산정길 138 (신선동3가)
기업은행 영도지점,부산광역시 영도구 남항서로 138(대교동1가)
부산은행 영도금융센터,부산광역시 영도구 절영로 27(대교동2가)
7-1 주차장,부산광역시 영도구 태종로833번길 23
항만소방서 화장실,부산광역시 영도구 해양로 297
절영해안산책로6호,부산광역시 영도구 동삼동 산 71-4
국립해양박물관,부산광역시 영도구 해양로301번길 45
부산영선동우체국,부산광역시 영도구 절영로 96-1
NH농협은행 영도지점,부산광역시 영도구 남항로 49(영선동2가)
개인택시영도LPG충전소,부산광역시 영도구 해양로 296
조내기고구마 역사공원,부산광역시 영도구 벚꽃길 80
절영종합사회복지관,부산광역시 영도구 함지로 33-10
태종대유원지 전망대 공중화장실(6호),부산광역시 영도구 전망로 209
해돋이마을,부산광역시 영도구 와치로 2-18
태종대유원지 등대 공중화장실(5호),부산광역시 영도구 전망로 181
한아름새마을금고(본점),부산광역시 영도구 하나길 458(신선동2가)
함지골약수터,부산광역시 영도구 절영로 323
봉산약수터,부산광역시 영도구 봉래길 106-1
영도구국민체육센터,부산광역시 영도구 함지로79번길 6 (동삼동)
홈플러스 영도점,부산광역시 영도구 대교로14번길 57 (봉래동2가)
부산은행 영선동지점,부산광역시 영도구 영선대로 75 (영선동2가)
하나은행 영도지점,부산광역시 영도구 영선대로 95(영선동2가)
해수천1호,부산광역시 영도구 해양로 412
태종로,부산광역시 영도구 청학동 73-105
벚꽃길,부산광역시 영도구 청학동 산 54-2
소공원,부산광역시 영도구 흰여울길 148
청학배수지,부산광역시 영도구 와치로 36
동삼종합사회복지관,부산광역시 영도구 상리로 30
영도구청(본관),부산광역시 영도구 태종로 423
태종대유원지 태종사 공중화장실(4호),부산광역시 영도구 동삼동 산 29-1
청학119안전센터 화장실,부산광역시 영도구 태종로 274
SK에너지(주)직영 태종로주유소,부산광역시 영도구 태종로 290 (청학동)
절영산책로 관리동,부산광역시 영도구 해안산책길 52(영선동4가)
SK행복충전 영도충전소,부산광역시 영도구 영선대로 41 (영선동4가)
한국해양수산연수원,부산광역시 영도구 해양로 367(동삼동)
블루포트2021,부산광역시 영도구 봉래나루로 138
한국해양수산개발원(KMI),부산광역시 영도구 해양로301번길 26 (동삼동)
영선대로 지하 공영주차장,부산광역시 영도구 영선대로 107 (영선동1가)
영도 환경공원 옥외 화장실,부산광역시 영도구 해양로 259
영도중앙새마을금고(본점),부산광역시 영도구 영선대로 99(영선동2가)
남항시장 2호,부산광역시 영도구 절영로43번길 60(영선동2가)
영도놀이마루,부산광역시 영도구 와치로 259 (동삼동)
봉래시장,부산광역시 영도구 태종로105번길 40-13 (봉래동3가)
영도해녀문화전시관,"부산광역시 영도구 중리남로 2-36, 영도해녀문화전시관 (동삼동)"
부산멀티미디어지원센터,"부산광역시 영도구 절영로 71, 영도어린이영어도서관 (남항동2가)"
영도구노인복지관,부산광역시 영도구 절영로29번길 14 (대교동2가)
부산복합문화공간 새모 업무지원동 지상 3층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
부산복합문화공간 새모 문화복지 B동 지하 1층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
부산복합문화공간 새모 문화복지 A동 지하 1층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
남항대교친수공간,부산광역시 영도구 남항서로 2-1
부산복합문화공간 새모 업무지원동 지하 1층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
부산복합문화공간 새모 업무지원동 지상 2층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
부산복합문화공간 새모 문화복지 A동 지하 2층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
마린축구장,"부산광역시 영도구 해양로 307, 영도공간 307 (동삼동)"
영도창업지원센터,부산광역시 영도구 태종로105번길 37-2 (봉래동2가)
부산복합문화공간 새모 문화복지 B동 지상 3층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
부산복합문화공간 새모 문화복지 B동 지상 1층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
부산복합문화공간 새모 문화복지 B동 지상 2층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
부산복합문화공간 새모 업무지원동 지상 1층,"부산광역시 영도구 해양로301번길 14, 부산복합문화공간 새모 (동삼동)"
세기상사㈜ 대성주유소,부산광역시 영도구 해양로 128 (청학동)
해수천2호,부산광역시 영도구 해양로 386
SK행복충전 부산에너지충전소,부산광역시 영도구 해양로 160
봉래동친수공간,부산광역시 영도구 봉래나루로 75
청학수변공원,부산광역시 영도구 해양로 53-1
항만구조대 화장실,부산광역시 영도구 상리로 76
영선119안전센터 화장실,부산광역시 영도구 태종로 115
영선1동행정복지센터,부산광역시 영도구 꿈나무길 25 (영선동1가)
부산은행 봉래동영업점,부산광역시 영도구 태종로 139(봉래동3가)
동삼2동행정복지센터,부산광역시 영도구 동삼오션로 27(동삼동)
